,Athlete,Country,NumChamps
242,Jean-baptiste TRIBOUT,France,1
243,Alexander DEULIN,Russia,1
244,Tomas PILKA,Czechia,1
245,Severino SCASSA,Italy,1
246,Kairat RAKHMETOV,Kazakhstan,1
247,Pedro PONS,Spain,1
248,David CARRETERO PEREZ,Spain,1
249,Neil CARSON,United Kingdom,1
250,Christopher CUBITT,United Kingdom,1
251,Ricardo OTEGUI ZUBIYAGA,Spain,1
252,Marko ROZMAN,Croatia,1
253,Gareth PARRY,United Kingdom,1
254,Michel VAN EYNDE,Belgium,1
255,Leif BROC,Norway,1
256,Markus BOCK,Germany,1
257,Peter HORNING,Netherlands,1
258,Roman STEFANEK,Czechia,1
259,Michael LEA,United Kingdom,1
260,Sebastian ZASADZKI,Poland,1
261,Peter KMOSKO,Slovakia,1
262,Miroslav PIALA,Slovakia,1
263,Arturo CAMPOS SALVADOR,Spain,1
264,Daniel ANDRADA JIMENEZ,Spain,1
265,Johan MUS,Belgium,1
266,Ionel ENE,Romania,1
267,Milan BENIAN,Czechia,1
268,Christian CORE,Italy,1
269,Ludovic LAURENCE,France,1
270,Frederic SARKANY,Belgium,1
271,Thomas FEUERSTEIN,Austria,1
272,Fernando MARTINEZ,Spain,1
273,Adam LIANA,Poland,1
274,Jan KARES,Czechia,1
275,Noukri GVELEBIANI,Georgia,1
276,Thorsten NEUHAUS,Germany,1
277,Leif Henning Broch JOHNSEN,Norway,1
278,Zaza GURCHIANI,Georgia,1
279,Tomas LUNDGREN,Sweden,1
280,Martin REIMERS,Norway,1
281,Oliver COENEN,Belgium,1
282,Matthias TROTTMANN,Switzerland,1
283,Ferdinand SCHULTE,Netherlands,1
284,Mathias SCHIESTL,Austria,1
285,Patrick COENEN,Netherlands,1
286,Erik JACOBS,Netherlands,1
287,Mikhail UMNITSYN,Russia,1
288,Diego LAMPUGNANI,Switzerland,1
289,Karsten BOROWKA,Germany,1
290,Todor DJAMBAZOV,Bulgaria,1
291,Daniel FILIPOV VOLEV,Bulgaria,1
292,Ruslan Dimitrov PETROUSKI,Bulgaria,1
293,Alexandre KOVALEVSKJ,Russia,1
294,Peter DOLEZAJ,Slovakia,1
295,Christian BENK,Germany,1
296,Adam DEWHURST,United Kingdom,1
297,Radim NOSEK,Czechia,1
298,Oleg TCHERECHNEV,Russia,1
299,Thomas ACHERMANN,Switzerland,1
300,Kilian FISCHHUBER,Austria,1
301,Marian GEORGIEV,Bulgaria,1
302,Martin FELIX,Switzerland,1
303,Martin MOBRÅTEN,Norway,1
304,Johan GYLLENSVARD,Sweden,1
305,Jan Fredrick PRYTZ,Norway,1
306,Christoph HUBER,Austria,1
307,Stian CHRISTOPHERSEN,Norway,1
308,Jamie CASSIDY,United Kingdom,1
309,Gil TENE,Israel,1
310,Martin HAMMERER,Austria,1
311,Tomasz DOUBRAVSK,Czechia,1
312,Mario KUESS,Austria,1
313,Roland WAGNER,Austria,1
314,Konrad OCIEPKA,Poland,1
315,Zdenek RESCH,Czechia,1
316,Mecherzynski ANDREZEJ,Poland,1
317,Luis Felix PEREZ,Spain,1
318,Georgi GEORGIEV,Bulgaria,1
319,Anthony SAPEY,Switzerland,1
320,Marek LEITMAN,Slovakia,1
321,Evgeny BASHKIRTSEV,Russia,1
322,Heiko WILHELM,Austria,1
323,Jonathan THOMAS,Belgium,1
324,Dirk MOL,Netherlands,1
325,Thomas NEYER,Austria,1
326,Igor ARANAZ,Spain,1
327,Matteo GAMBARO,Italy,1
328,Jan ZBRANEK,Czechia,1
329,Boyko LALOV,Bulgaria,1
330,Felix NEUMÄRKER,Germany,1
331,Serguei TERENTIEV,Russia,1
332,Alexander SHOPRIN,Russia,1
333,Mincho PETKOV,Bulgaria,1
