,Athlete,Country,NumChamps
209,Sergiy KRYVONOS,Ukraine,1
210,Ivaylo RADKOV,Bulgaria,1
211,Valeriy VOROBYEV,Russia,1
212,Alexander VASILETS,Belarus,1
213,Boyko LALOV,Bulgaria,1
214,Olexiy SHULGA,Ukraine,1
215,Mincho PETKOV,Bulgaria,1
216,Dmytro KONOVALOV,Ukraine,1
217,Attila BARTHA,Hungary,1
218,Kyrylo SHEVCHENKO,Ukraine,1
219,Andrzej MECHERZYNSKI-WIKTOR,Poland,1
220,Marian GEORGIEV,Bulgaria,1
221,Nicolas JANUEL,France,1
222,Oleg GREBENYUK,Ukraine,1
223,Ihor HONCHARENKO,Ukraine,1
224,Todor DJAMBAZOV,Bulgaria,1
225,Alexandre SERGEYEV (LIACHENKO),Russia,1
226,Andreas PFANNER,Austria,1
227,Daniel FILIPOV VOLEV,Bulgaria,1
228,Jürgen REIS,Austria,1
229,Andrei KRIVONOS,Ukraine,1
230,Ruslan Dimitrov PETROUSKI,Bulgaria,1
231,Ernst WANDER,Germany,1
232,Mustafer EREN,Germany,1
233,Noukri GVELEBIANI,Georgia,1
234,Robert MATE,Germany,1
235,Ionel ENE,Romania,1
236,Serik KAZBEKOV,Ukraine,1
237,Daniel KADLEC,Czechia,1
238,Oliver COENEN,Belgium,1
239,Ingo STICHLER,Germany,1
240,Said BELHAJ,Sweden,1
241,Milan BENIAN,Czechia,1
242,Alexei KOZLOV,Russia,1
243,Jimmy AUNET,France,1
244,Arno DIMMLER,Germany,1
245,Florin CORBEJ,Romania,1
246,Zaza GURCHIANI,Georgia,1
247,Tim BARTZIK,Germany,1
248,Daniel ANDRADA JIMENEZ,Spain,1
249,Johan MUS,Belgium,1
250,Miroslav PIALA,Slovakia,1
251,Pavel KORAN,Czechia,1
252,Leif BROC,Norway,1
253,Michel VAN EYNDE,Belgium,1
254,Maksym PETRENKO,Ukraine,1
255,Peter KMOSKO,Slovakia,1
256,Daniel DU LAC,France,1
257,Neil CARSON,United Kingdom,1
258,Michael LEA,United Kingdom,1
259,Roman STEFANEK,Czechia,1
260,Tomas PILKA,Czechia,1
261,Marko ROZMAN,Croatia,1
262,John ARRAN,United Kingdom,1
263,Werner THON,Germany,1
264,François COFFY,France,1
265,Igor GUSAK,Ukraine,1
266,Damien BOITARD,France,1
267,Mathieu GALLOT-LAVALLEE,France,1
268,Pavel SAMOILINE,Russia,1
269,Marek REPCIK,Slovakia,1
270,Christopher CUBITT,United Kingdom,1
271,Gareth PARRY,United Kingdom,1
272,Rastislav SULIK,Slovakia,1
273,Stefan ADRIAN,Romania,1
274,Jury KRASILNIKOV,Russia,1
275,Tomas CADA,Czechia,1
276,Sascha FLOHE,Germany,1
277,Marcel TOMAN,Czechia,1
278,Alv BORGE,Norway,1
279,Stephan HILGERS,Germany,1
280,Cristian BRENNA,Italy,1
281,Andrzej MARCISZ,Poland,1
282,Vasil KIROV ,Bulgaria,1
