,Athlete,Country,NumChamps
360,Leo BØE,Norway,1
361,Nimord MARCUS,Israel,1
362,Slav KIROV,Bulgaria,1
363,Hannes VAN DUYSEN,Belgium,1
364,Yotam BEN REUVEN,Israel,1
365,Ioannis-Filippos NOEL-BAKER,Greece,1
366,Matey MITSEV,Bulgaria,1
367,Yannick FLOHÉ,Germany,1
368,Toby ROBERTS,United Kingdom,1
369,Alberto GINÉS LÓPEZ,Spain,1
370,Hamish MCARTHUR,United Kingdom,1
371,Robert LUBY,Slovakia,1
372,Mark BRAND,Netherlands,1
373,Christoph SCHWEIGER,Germany,1
374,Alejandro CRESPO COBOS,Spain,1
375,Paul JENFT,France,1
376,Thilo SCHRÖTER,Norway,1
377,Eneko CARRETERO CRUZ,Spain,1
378,Stepan POTUCEK,Czechia,1
379,Danyil BOLDYREV,Ukraine,1
380,Eduardas JERIOMENKO,Lithuania,1
381,Leonid OSADCHYI,Ukraine,1
382,Marcin DZIENSKI,Poland,1
383,Jan KRIZ,Czechia,1
384,Jakub KONECNY,Czechia,1
385,Nikolai IARILOVETS,Russia,1
386,Tomas PLEVKO,Slovakia,1
387,Nikola KRAMARIC,Croatia,1
388,Dylan CHUAT,Switzerland,1
389,Bohdan BOTNAR,Ukraine,1
390,Lasse VON FREIER,Germany,1
391,Jonas UTELLI,Switzerland,1
392,Tuukka SIMONEN,Finland,1
393,Axel LINDFORS,Finland,1
394,Roman SIVAKOV,Lithuania,1
395,Theis Lindegren ELFENBEIN,Denmark,1
396,Antoine GIRARD,France,1
397,Vaidotas MONSTAVICIUS,Lithuania,1
398,Timotej ROMŠAK,Slovenia,1
399,Andreas HOFHERR,Austria,1
400,Guillermo PEINADO FRANGANILLO,Spain,1
401,Elias ARRIAGADA KRÜGER,Germany,1
402,Elliot ERIKSSON,Sweden,1
403,Attila Zsombor RADICS,Hungary,1
404,Nathan MARTIN,France,1
405,Nathan MARTIN,Luxembourg,1
406,Dayan AKHTAR,United Kingdom,1
407,Nicolò SARTIRANA,Italy,1
408,Toivo ELORANTA,Finland,1
409,Albin MEYER,Sweden,1
410,Thorben Perry BLOEM,Germany,1
411,Samuel RICHARD,France,1
412,Nimród Sebestyén TUSNÁDY ,Hungary,1
413,Mykyta MYRONENKO,Ukraine,1
414,Yonatan KATZ,Israel,1
415,Călin ENACHE,Romania,1
416,Martin MÄNNISTE,Estonia,1
417,Oren PRIHED,Israel,1
418,Tomer YAKOBOVITCH,Israel,1
419,Niccolò Antony SALVATORE,Italy,1
420,Villads SKOVBJERG,Denmark,1
421,Max JØRGENSEN,Denmark,1
422,Thomas KJAER,Denmark,1
423,Paul CRISTEA,Romania,1
