,Athlete,Country,NumWCups
309,Samuel BUTTERWORTH (Current),United Kingdom,12
310,Jan STIPEK (Current),Czechia,12
311,Jim KARN,United States of America,11
312,Werner THON,Germany,11
313,Scott FRANKLIN,United States of America,11
314,Riccardo SCARIAN,Italy,11
315,Michael LEA,United Kingdom,11
316,Davide ZAVAGNIN,Italy,11
317,Arnaud CEINTRE,France,11
318,Sergei SHAFEROV,Belarus,11
319,André BEREZOSKI,Brazil,11
320,Ka-wai CHU,"China, Hong Kong Special Administrative Region",11
321,Leto CAVÉ,Netherlands,11
322,André NERES,Portugal,11
323,Mikhail GOGOL,Russia,11
324,Daniel MORENO DE LOS HUERTO,Spain,11
325,Benoit HEINTZ,France,11
326,Nicky DE LEEUW,Netherlands,11
327,Nicola DE MATTIA,Italy,11
328,Silvio REFFO,Italy,11
329,Masaki SHIBATA,Japan,11
330,Maciej DOBRZANSKI,Poland,11
331,Meichi NARASAKI (Current),Japan,11
332,Yongchen CHEN (Current),China,11
333,Lovro CREP (Current),Slovenia,11
334,Auswin AUEAREECHIT (Current),Thailand,11
335,Felix MADER (Current),Austria,11
336,Hyunseung NOH (Current),Republic of Korea,11
337,Mejdi SCHALCK (Current),France,10
338,Alistair DUVAL,France,10
339,Jean CABARET,France,10
340,Jae-yong LEE,Republic of Korea,10
341,Günther UNTERRAINER,Austria,10
342,Johan MUS,Belgium,10
343,Ludovic LAURENCE,France,10
344,Phillipe MUSSATTO,France,10
345,Dai KOYAMADA,Japan,10
346,Jakub HLAVACEK,Czechia,10
347,Marcin WSZOLEK,Poland,10
348,Mykhaylo SHALAGIN,Ukraine,10
349,Fredrik SERLACHIUS,Sweden,10
350,Tomas PLEVKO,Slovakia,10
351,Peter KURIC (Current),Slovakia,10
352,Blaz RANT,Slovenia,10
353,Stefan DANKER,Germany,10
354,Daisuke KONISHI,Japan,10
355,Jiacuo SUOLANG,China,10
356,Mikhail KOCHETKOV,Russia,10
357,Anton MARDASHOV,Ukraine,10
358,Tim REUSER,Netherlands,10
359,Aleksei SHCHERVIANIN,Russia,10
360,Seolbin SIM,Republic of Korea,10
361,Sergej EPIH,Slovenia,10
362,Kai LIGHTNER,United States of America,10
363,Benjamin AYALA,Chile,10
364,Nikolay RUSEV (Current),Bulgaria,10
365,Muhammad RIZKY SYAHRAFLI SIMATUPANG (Current),Indonesia,10
366,Ravianto RAMADHAN (Current),Indonesia,10
367,Victor GUILLERMIN (Current),France,10
368,Sergey LAKHNO (Current),United States of America,10
369,Philippe STEULET,Switzerland,9
370,Tadej SLABE,Slovenia,9
371,Ben MOON,United Kingdom,9
372,Serge BLEIN,France,9
373,Alexander ADLER,Germany,9
374,Johnny SCHELKER,Switzerland,9
375,John ARRAN,United Kingdom,9
376,Igor KOLLAR,Slovakia,9
377,Andrey VEDENMEER,Ukraine,9
378,Gareth PARRY,United Kingdom,9
379,Mauro CALIBANI,Italy,9
380,Luigi BILLORO,Italy,9
381,Said BELHAJ,Sweden,9
382,Cédric LO PICCOLO,France,9
383,Or MINIELY,Israel,9
384,Stepan VOLF,Czechia,9
385,Michael TIMMERMANS,Belgium,9
386,Roland WAGNER,Austria,9
387,Thomas SCHMID,Switzerland,9
388,Felix NEUMÄRKER,Germany,9
389,Olivier HEQUIN,France,9
390,Yuriy DZYUBYAK,Ukraine,9
391,Anatole BOSIO,France,9
392,Ka-Chun YAU (Current),"China, Hong Kong Special Administrative Region",9
393,Hongil KIM,Republic of Korea,9
394,Sergei BYDTAEV,Russia,9
395,Àlex HERNÁNDEZ CASTILLA,Spain,9
396,Martin KUHNEL,United States of America,9
397,John BROSLER (Current),United States of America,9
398,Rudolph RUANA,United States of America,9
399,Slav KIROV (Current),Bulgaria,9
400,Rodrigo IASI HANADA (Current),Brazil,9
401,Jinbin HUANG (Current),China,9
402,Dimitri FLICK (Current),Switzerland,9
403,Putra TRI RAMADANI (Current),Indonesia,9
404,Qun Tao KE (Current),Malaysia,9
405,Rhys CONLON (Current),United Kingdom,9
406,Diego FOURBET,France,8
407,Jeremy BONDER,France,8
408,Sven LEMPEREUR,Belgium,8
409,Ziga ZAJC,Slovenia,8
410,Robert CORTIJO,France,8
411,Yann GHESQUIERS,France,8
412,Dave CUTHBERTSON,United Kingdom,8
413,Faycal NATECH,France,8
414,Malcolm SMITH,United Kingdom,8
415,Erik JACOBS,Netherlands,8
416,Vladimir JOURKIN,Russia,8
417,Bernabe FERNANDEZ,Spain,8
418,Stefan BÖSCHENSTEIN,Switzerland,8
419,Robert MATE,Germany,8
420,Hans MILEWSKI,Austria,8
421,Hee-jo KIM,Republic of Korea,8
422,Urh CEHOVIN,Slovenia,8
423,Luc DAURES,France,8
424,Rongwu CAO,China,8
425,Fabian FÖRANDER,Sweden,8
426,Jakub ZIETEK (Current),Poland,8
427,Johannes HOFHERR (Current),Austria,8
428,Dylan CHUAT,Switzerland,8
429,Ross FULKERSON (Current),United States of America,8
430,Julien CLÉMENCE (Current),Switzerland,8
431,Timothy KANG,United States of America,8
432,Sean FAULKNER,Canada,8
433,Alex KHAZANOV,Israel,8
434,Taito NAKAGAMI,Japan,8
435,Matteo GAMBARO,Italy,8
436,Xiangyang YE,China,8
437,Changzhong LIU,China,8
438,Tobias GARTMANN,Germany,8
439,Rasmus NORGAARD,Denmark,8
440,Yeu-shiang CHANG,Taiwan,8
441,Timo TAK,Netherlands,8
442,Gabriel JOSSERON,France,8
443,Jurgen LIS,Belgium,8
444,Pavlo VEKLA,Ukraine,8
445,Kevin AGLAE,France,8
446,Eirik birkelund OLSEN,Norway,8
447,Truong NGO,Netherlands,8
448,Gregor VEZONIK (Current),Slovenia,8
449,Kaya OTAKA,Japan,8
450,Tomoaki TAKATA,Japan,8
451,Jonatan FLOR VAZQUEZ,Spain,8
452,Nathan SMITH,Canada,8
453,Zan LOVENJAK SUDAR (Current),Slovenia,8
454,Carlos GRANJA,Ecuador,8
455,Benjamin HANNA (Current),United States of America,8
456,Maximillian MILNE (Current),United Kingdom,8
457,Joonha SHIN (Current),Republic of Korea,8
458,Romaric GEFFROY,France,8
459,Nathan MARTIN (Current),France,8
460,Nathan MARTIN (Current),Luxembourg,8
461,Vojtech TROJAN,Czechia,8
462,Hritik MARNE,India,8
463,Guy MCNAMEE (Current),Canada,8
464,Kindar MCNAMEE (Current),Canada,8
465,Mateus RODRIGUES BELLOTTO (Current),Brazil,8
466,Timo UZNIK (Current),Austria,8
467,Musauwir MUSAUWIR (Current),Indonesia,8
468,Jinwei YAO (Current),China,8
469,Chih-En FAN (Current),Taiwan,8
470,Guillermo PEINADO FRANGANILLO (Current),Spain,8
471,Max KLEESATTEL (Current),Germany,7
472,Simon NADIN,United Kingdom,7
473,Andrea GALLO,Italy,7
474,Jindrich HUDECEK,Czechia,7
475,Mark DELAFIELD,United Kingdom,7
476,Kurt DE BOECK,Belgium,7
477,Michael FADINGER,Austria,7
478,Oleg TCHERECHNEV,Russia,7
479,Samuel BIE,France,7
480,Jacek JURKOWSKI,Poland,7
481,Marek REPCIK,Slovakia,7
482,Kyu-bog CHO,Republic of Korea,7
