,Athlete,Country,NumWCups
217,Yury NOVITSKIY,Russia,13
218,Olivier HEQUIN,France,13
219,Jure BECAN,Slovenia,13
220,Vilimantas PETRASIUNAS,Lithuania,13
221,Anton JOHANSONN,Finland,13
222,Austin GEIMAN,United States of America,13
223,Haibin QU,China,13
224,Lucas UCHIDA,Canada,13
225,Javier CANO BLAZQUEZ (Current),Spain,13
226,Lasse VON FREIER (Current),Germany,13
227,Luke GOH WEN BIN (Current),Singapore,13
228,Guy MCNAMEE (Current),Canada,13
229,Benjamin VARGAS (Current),Chile,13
230,Dayan AKHTAR (Current),United Kingdom,13
231,Alexandre CHABOT,France,12
232,David GISLER,Switzerland,12
233,Fedir SAMOILOV,Ukraine,12
234,Christoph SCHWEIGER,Germany,12
235,Stanislav KLESHNOV,Ukraine,12
236,Jaha KIM,Republic of Korea,12
237,David LAMA,Austria,12
238,Ondrej NEVELIK,Czechia,12
239,Andre DIFELICE,Canada,12
240,Max RUDIGIER,Austria,12
241,Matthias ERBER,Austria,12
242,Sergio PASTOR MARTÍNEZ,Spain,12
243,Diego LEQUERICA BUSCAGLIA (Current),Peru,12
244,Felipe HO FOGANHOLO (Current),Brazil,12
245,Hamish MCARTHUR (Current),United Kingdom,12
246,Jack MACDOUGALL (Current),United Kingdom,12
247,Damien JEANDENAND,France,11
248,Jean luc DANIS,France,11
249,Timmy FAIRFIELD,Canada,11
250,Dan ARCHAMBAULT,Canada,11
251,Hiroshi OKANO,Japan,11
252,Axel LINDFORS (Current),Finland,11
253,Ludovico FOSSALI (Current),Italy,11
254,Matthew COUSINS,United Kingdom,11
255,Marc EDWARDS,Australia,11
256,Marco antonio JUBES ANGARITA,Spain,11
257,John BOWLES,Canada,11
258,Baptiste NOMINE,France,11
259,Matej SVUB,Slovakia,11
260,Daniel ANDERSSON,Sweden,11
261,Zida MA,China,11
262,Hans BUSKER,Netherlands,11
263,Amir NOURI,Iran (Islamic Republic of),11
264,Max PRINZ,Germany,11
265,Hei-yeung LAM,"China, Hong Kong Special Administrative Region",11
266,Ciarán SCANLON (Current),Ireland,11
267,Leo AVEZOU (Current),France,11
268,Rolf fredrik SERLACHIUS,Sweden,11
269,Victor BAUDRAND (Current),Canada,11
270,Nicolò SARTIRANA (Current),Italy,11
271,Pedro PONS,Spain,10
272,Olivier LEBRETON,France,10
273,Antoine GIRARD (Current),France,10
274,Theodoros KONSTANTAKOPOULOS,Greece,10
275,Pierre DUROCHE,France,10
276,Thomas TAUPORN,Germany,10
277,Ignasi TARRAZONA GASQUE,Spain,10
278,Elko SCHELLINGERHOUT,Netherlands,10
279,Ryuichi MURAI,Japan,10
280,Loïc TIMMERMANS,Belgium,10
281,Stefan BEDNAR,Slovakia,10
282,Nathan SMITH,Canada,10
283,Campbell HARRISON (Current),Australia,10
284,Lukas GEUKENS,Belgium,10
285,Sergio VERDASCO URIZAL,Spain,10
286,Rei KAWAMATA (Current),Japan,10
287,Satone YOSHIDA (Current),Japan,10
288,Jesse GRUPPER (Current),United States of America,10
289,Ritsu KAYOTANI (Current),Japan,10
290,Nathan MARTIN (Current),France,10
291,Nathan MARTIN (Current),Luxembourg,10
292,Raffael GRUBER (Current),Austria,10
293,Dennis TEIJSSE,Netherlands,9
294,Elliot BLOCH,United States of America,9
295,Jeroen JONGENEELEN,Netherlands,9
296,Raphaël LACHAT,Switzerland,9
297,Tom SUGDEN,United Kingdom,9
298,Jiri PRIBIL,Czechia,9
299,Roddy MACKENZIE,United Kingdom,9
300,Nikolai IARILOVETS (Current),Russia,9
301,Matic KOTAR (Current),Slovenia,9
302,Mikel Asier LINACISORO MOLINA (Current),Spain,9
303,Christopher COSSER (Current),South Africa,9
304,Charles BARRON (Current),United States of America,9
305,Christian WAGNER (Current),Chile,9
306,Shinta OZAWA,Japan,9
307,Alessandro GANDOLFO,Italy,9
308,Roland WAGNER,Austria,9
309,Ben WEST,United Kingdom,9
310,Vasily KOZLOV,Russia,9
311,Artyom DEVYATERIKOV,Kazakhstan,9
312,Kornelius OBLEITNER,Austria,9
313,Claudiu MIU,Romania,9
314,Christian FEISTMANTL,Austria,9
315,Carlo TRAVERSI,United States of America,9
316,Piotr BUNSCH,Poland,9
317,Niccolo' CERIA,Italy,9
318,Sin-Fai HO,"China, Hong Kong Special Administrative Region",9
319,Michael O'ROURKE,United States of America,9
320,Orrin COLEY,United Kingdom,9
321,James POPE,United Kingdom,9
322,Adrien LEMAIRE (Current),France,9
323,Paul BRAND (Current),Netherlands,9
324,Daiki SANO (Current),Japan,9
325,Hugo HOYER (Current),United States of America,9
326,Guillermo PEINADO FRANGANILLO (Current),Spain,9
327,Lucas TRANDAFIR (Current),Germany,9
328,François PETIT,France,8
329,Luc DAURES,France,8
330,Jean baptiste JOURJON,France,8
331,Alexander MEIKL,Austria,8
332,Chris GRAHAM,United Kingdom,8
333,Georgos PROGULAKIS,Italy,8
334,Roy MOSLEY,United Kingdom,8
335,Nino GRÜNENFELDER (Current),Switzerland,8
336,Roman BATSENKO,Ukraine,8
337,Carlos GRANJA,Ecuador,8
338,Jakub ZIETEK (Current),Poland,8
339,Roman SIVAKOV (Current),Lithuania,8
340,Matthieu THOMASSIN,France,8
341,Sergii KARPIN,Ukraine,8
342,Jan CHVALA,Czechia,8
343,Mario LECHNER,Austria,8
344,Rafet serkan ERCAN,Turkey,8
345,Dustin CURTIS,Canada,8
346,Adam JEEWOOTH,United Kingdom,8
347,Nikola PETROV,Bulgaria,8
348,Fabien COMINA,France,8
349,Mikhail GOGOL,Russia,8
350,Ian DORY,United States of America,8
351,Artem PETRAKOV,Russia,8
352,James GARDEN,United Kingdom,8
353,Francesco VETTORATA,Italy,8
354,Pascal GAGNEUX,France,8
355,Santiago DE ALBA FLORES (Current),Mexico,8
356,Andrew ZHIGAREV,Ukraine,8
357,Minoru NAKANO,Japan,8
358,Vlas GAVRILOV,Russia,8
359,Ayodele SOPEJU,Canada,8
360,Joel ZERR,United States of America,8
361,Reza KOLASANGIAN,Iran (Islamic Republic of),8
362,Pol ROCA LOPEZ,Spain,8
363,Liam HEALY,Australia,8
364,Aidan ROBERTS,United Kingdom,8
365,Kento YAMAGUCHI (Current),Japan,8
366,Mateus RODRIGUES BELLOTTO (Current),Brazil,8
367,Joaquin URRUTIA (Current),Chile,8
368,Ido FIDEL (Current),Israel,8
369,Julian WIMMER (Current),Austria,8
370,Andreas HOFHERR (Current),Austria,8
371,Ali SALIMIAN (Current),Iran (Islamic Republic of),8
372,Timotej ROMŠAK (Current),Slovenia,8
373,Thomas LEMAGNER (Current),France,8
374,Thorben Perry BLOEM (Current),Germany,8
375,Matthew RODRIGUEZ (Current),Canada,8
376,Anthony LAMICHE,France,7
377,Andrey VEDENMEER,Ukraine,7
378,Dmitrii BYCHKOV,Russia,7
379,Benjamin FELGEROLLE,France,7
380,Lucio GIUDICI,Italy,7
381,Julien GRAS,France,7
382,Urs SCHÖNENBERGER,Switzerland,7
383,Martin SMITH,United Kingdom,7
384,Don VAN LAERE,Netherlands,7
385,Tamás FARKAS (Current),Hungary,7
386,Nimród Sebestyén TUSNÁDY  (Current),Hungary,7
387,Alex WATERHOUSE,United Kingdom,7
388,Alexander WALLER (Current),United States of America,7
389,Palmer LARSEN,United States of America,7
390,Paolo LEONCINI,Italy,7
391,Didier HOARAU,France,7
392,Aleksei PORTSEV,Russia,7
393,Tomas GREKSAK,Slovakia,7
394,Jesse VAN DER WERF,Netherlands,7
395,Jj MAH,Canada,7
396,Michiel NIEUWENHUIJSEN,Netherlands,7
397,Qinghua WANG,China,7
398,Robert RUNDIN,Sweden,7
399,Siu-hei TANG,"China, Hong Kong Special Administrative Region",7
400,Tom NEWMAN,United Kingdom,7
401,Dimitri VOGT,Switzerland,7
402,Kenneth ELVEGÅRD,Norway,7
403,Andrea ZANONE,Italy,7
404,Kai LIGHTNER,United States of America,7
405,Ilari juho KELLONIEMI,Finland,7
406,Yuki HADA,Japan,7
407,Nicolas PELORSON,France,7
408,Kaito WATANABE,Japan,7
409,William BOSI,United Kingdom,7
410,Chua DENNIS (Current),Singapore,7
411,John BROSLER (Current),United States of America,7
412,Rudolph RUANA,United States of America,7
413,Dohyeon KIM (Current),Republic of Korea,7
414,Mark SCANLON (Current),Ireland,7
415,Mathieu TERNANT,France,7
416,Maxim PARE (Current),Australia,7
417,Samuel RICHARD (Current),France,7
418,Yejun CHON (Current),Republic of Korea,7
419,Tim WÜRTHNER (Current),Germany,7
420,Vail EVERETT (Current),United States of America,7
421,Sylvain CHAPELLE,France,6
422,Yevgen KRYVOSHEYTSEV,Ukraine,6
423,Petro MARKEVYCH,Ukraine,6
424,Benoît FOUBERT,France,6
425,Benedikt HAAGER,Germany,6
426,Daniel JUNG,Germany,6
427,Tim REUSER,Netherlands,6
428,Fredrik SERLACHIUS,Sweden,6
429,Alejandro CRESPO COBOS,Spain,6
430,Daniel UNGUREANU,Romania,6
431,Martin JAGGI,Switzerland,6
432,Florent SAMYN,France,6
433,Bastien GLAIRON MONDET,France,6
434,Jakub KOVACIK,Slovakia,6
435,Sébastien VALRAN,France,6
436,Alexandr NIKOLAEV,Russia,6
437,Sachi AMMA,Japan,6
438,Jiacuo SUOLANG,China,6
439,Jacopo LARCHER,Italy,6
440,Philippe ALLENSPACH,Switzerland,6
441,Robert D'ANASTASIO,United States of America,6
442,Josh LEVIN,United States of America,6
443,Sandeep MAITY,India,6
444,Elan JONASMCRAE,Canada,6
445,Vasya VOROTNIKOV,United States of America,6
446,Andrew LAMB,United States of America,6
447,Sungjoon CHAE (Current),Republic of Korea,6
448,Borna CUJIC,Croatia,6
449,Martin BERGANT (Current),Slovenia,6
450,Danila YAMCHUK,Latvia,6
451,Chun-hsiang WANG,Taiwan,6
452,Alessandro PALMA,Italy,6
453,Sungbo SEO (Current),Republic of Korea,6
454,Dichong HUANG,China,6
455,Hanwool KIM,Republic of Korea,6
456,Yotam BEN REUVEN,Israel,6
457,Minsung HAN,Republic of Korea,6
458,Jinbin HUANG (Current),China,6
459,Ioannis-Filippos NOEL-BAKER (Current),Greece,6
460,Dillon COUNTRYMAN (Current),United States of America,6
461,Yunchan SONG (Current),Republic of Korea,6
462,Junzhe HU (Current),China,6
463,Chih-En FAN (Current),Taiwan,6
464,Ziqi XU (Current),China,6
465,Kenu PUERTA WONG (Current),Peru,6
466,Alexandru-Florian ZAHARIA (Current),Romania,6
467,Călin ENACHE (Current),Romania,6
468,Oren PRIHED (Current),Israel,6
469,Niccolò Antony SALVATORE (Current),Italy,6
470,Joshua GERHARDT (Current),United States of America,6
471,Faycal NATECH,France,5
472,Serguei CHEMOULINKINE,Russia,5
473,Nicolas PINIER,France,5
474,Roberto FIORAVANTI,Italy,5
475,Arpad CSEKO,Hungary,5
476,Marko ROZMAN,Croatia,5
477,Frédéric NOE,France,5
478,Jonathan PHILIPPE,France,5
479,Stuart LITTLEFAIR,United Kingdom,5
480,Chris SHARMA,United States of America,5
481,Stanislav POPLAVSKIY,Russia,5
482,Manuel BRUNN,Germany,5
483,Malcolm SMITH,United Kingdom,5
484,Géraud FANGUIN,France,5
485,Emil ABRAHAMSSON,Sweden,5
486,Rishat KHAIBULLIN (Current),Kazakhstan,5
487,Matthaios VALSAMIDIS (Current),Greece,5
488,Mark BRAND (Current),Netherlands,5
489,Soma STROMMER,Hungary,5
490,Philipp GEISENHOFF,Switzerland,5
491,Carmel RAZ ROMEO,Israel,5
492,Frederik VIBERG CHRISTIANSEN,Denmark,5
