,Athlete,Country,NumWCups
320,Arnaud CEINTRE,France,11
321,Sergei SHAFEROV,Belarus,11
322,André BEREZOSKI,Brazil,11
323,Ka-wai CHU,"China, Hong Kong Special Administrative Region",11
324,Leto CAVÉ,Netherlands,11
325,André NERES,Portugal,11
326,Mikhail GOGOL,Russia,11
327,Daniel MORENO DE LOS HUERTO,Spain,11
328,Benoit HEINTZ,France,11
329,Nicky DE LEEUW,Netherlands,11
330,Nicola DE MATTIA,Italy,11
331,Silvio REFFO,Italy,11
332,Masaki SHIBATA,Japan,11
333,Maciej DOBRZANSKI,Poland,11
334,Meichi NARASAKI (Current),Japan,11
335,Yongchen CHEN (Current),China,11
336,Auswin AUEAREECHIT (Current),Thailand,11
337,Victor GUILLERMIN (Current),France,11
338,Sergey LAKHNO (Current),United States of America,11
339,Mejdi SCHALCK (Current),France,10
340,Alistair DUVAL,France,10
341,Jean CABARET,France,10
342,Jae-yong LEE,Republic of Korea,10
343,Günther UNTERRAINER,Austria,10
344,Johan MUS,Belgium,10
345,Ludovic LAURENCE,France,10
346,Phillipe MUSSATTO,France,10
347,Dai KOYAMADA,Japan,10
348,Jakub HLAVACEK,Czechia,10
349,Marcin WSZOLEK,Poland,10
350,Mykhaylo SHALAGIN,Ukraine,10
351,Fredrik SERLACHIUS,Sweden,10
352,Tomas PLEVKO,Slovakia,10
353,Peter KURIC (Current),Slovakia,10
354,Blaz RANT,Slovenia,10
355,Stefan DANKER,Germany,10
356,Daisuke KONISHI,Japan,10
357,Jiacuo SUOLANG,China,10
358,Mikhail KOCHETKOV,Russia,10
359,Anton MARDASHOV,Ukraine,10
360,Tim REUSER,Netherlands,10
361,Aleksei SHCHERVIANIN,Russia,10
362,Seolbin SIM,Republic of Korea,10
363,Sergej EPIH,Slovenia,10
364,Kai LIGHTNER,United States of America,10
365,Benjamin AYALA,Chile,10
366,Nikolay RUSEV (Current),Bulgaria,10
367,Muhammad RIZKY SYAHRAFLI SIMATUPANG (Current),Indonesia,10
368,Ravianto RAMADHAN (Current),Indonesia,10
369,Putra TRI RAMADANI (Current),Indonesia,10
370,Rhys CONLON (Current),United Kingdom,10
371,Philippe STEULET,Switzerland,9
372,Tadej SLABE,Slovenia,9
373,Ben MOON,United Kingdom,9
374,Serge BLEIN,France,9
375,Alexander ADLER,Germany,9
376,Johnny SCHELKER,Switzerland,9
377,John ARRAN,United Kingdom,9
378,Igor KOLLAR,Slovakia,9
379,Andrey VEDENMEER,Ukraine,9
380,Gareth PARRY,United Kingdom,9
381,Mauro CALIBANI,Italy,9
382,Luigi BILLORO,Italy,9
383,Said BELHAJ,Sweden,9
384,Cédric LO PICCOLO,France,9
385,Or MINIELY,Israel,9
386,Stepan VOLF,Czechia,9
387,Michael TIMMERMANS,Belgium,9
388,Roland WAGNER,Austria,9
389,Thomas SCHMID,Switzerland,9
390,Felix NEUMÄRKER,Germany,9
391,Olivier HEQUIN,France,9
392,Yuriy DZYUBYAK,Ukraine,9
393,Anatole BOSIO,France,9
394,Ka-Chun YAU (Current),"China, Hong Kong Special Administrative Region",9
395,Hongil KIM,Republic of Korea,9
396,Sergei BYDTAEV,Russia,9
397,Àlex HERNÁNDEZ CASTILLA,Spain,9
398,Martin KUHNEL,United States of America,9
399,Joonha SHIN (Current),Republic of Korea,9
