,Athlete,Country,NumWCups
296,Gunda FRÜHWALD,Germany,9
297,Karin MAGOG,United Kingdom,9
298,Nataliy PASHENNIK,Russia,8
299,Svetlana SUTKINA,Russia,8
300,Zosia PODGORBOUNSKIKH,Russia,8
301,Romana SAVIC,Slovenia,8
302,Delphine PIGNEUR,France,8
303,Stéphanie CROUVISIER,France,8
304,Iziar MARTÍNEZ ALMENDROS (Current),Spain,8
305,Chiara maria CLOSTERMANN,Germany,8
306,Luisa FLOHÉ,Germany,8
307,Lucia DÖRFFEL (Current),Germany,8
308,Aida TORRES ILLAMOLA,Spain,8
309,Pascale NOEL,Luxembourg,8
310,Ineke DIJKSTRA,Netherlands,8
311,Anastasiia KOBETS (Current),Ukraine,8
312,Geila MACIÀ MARTÍN (Current),Spain,8
313,Hannah MIDTBOE,Norway,8
314,Stephanie TRABER,France,8
315,Helena ALEMAN SOBRINO,Spain,8
316,Sasha DIGIULIAN,United States of America,8
317,Hsiu-ju LIN,Taiwan,8
318,Hana KOIKE,Japan,8
319,Zoe PEETERMANS (Current),United Kingdom,8
320,Viktoriia MESHKOVA,Russia,8
321,Oriane BERTONE (Current),France,8
322,Anouck JAUBERT,France,8
323,Tomona TAKAO (Current),Japan,8
324,Zoé EGLI (Current),Switzerland,8
325,Helena LIPENSKA,Czechia,8
326,Nadine RUH,Germany,8
327,Seunghyun KIM,Republic of Korea,8
328,Federica MINGOLLA,Italy,8
329,Denise BERTRAM,Germany,8
330,Jara SPÄTE,Switzerland,8
331,Ana TIRIPA,Germany,7
332,Hannah BAEHR,Germany,7
333,Anastasiia SAMOILINA,Russia,7
334,Aika TAJIMA,Japan,7
335,Claire BUHRFEIND,United States of America,7
336,Solveig KORHERR,Germany,7
337,Jiwon BAE,Republic of Korea,7
338,Yali WEI (Current),China,7
339,Flora OBLASSER (Current),Austria,7
340,Chaeyeong KIM (Current),Republic of Korea,7
341,Yuka ENDO,Japan,7
342,Yuko SAKAKIBARA,Japan,7
343,Dagmar PFAFFENBICHLER,Austria,7
344,Marianne BERGER,France,7
345,Mia AXON,United States of America,7
346,Gry HANSEN,Norway,7
347,Stella MARCHISIO,Italy,7
348,Kim ANTHONI,Belgium,7
349,Ulla WALDER,Italy,7
350,Martina ARTIOLI,Italy,7
351,Natalia KOSMACHEVA,Russia,7
352,Akiko OOIWA,Japan,7
353,Alison OSIUS,United States of America,7
354,Miranda ORTAR,Slovenia,7
355,Catherine GLOESENER,Belgium,7
356,Maja STREMFELJ,Slovenia,7
