,Athlete,Country,Gender,Discipline,First,Second,Third
158,Jerry MOFFATT,GBR,Male,Lead,1,4,0
159,Gabriele MORONI,ITA,Male,Boulder,1,4,0
160,Kiromal KATIBIN,INA,Male,Speed,1,3,7
161,Aleksandra KALUCKA,POL,Female,Speed,1,3,5
162,Cristian BRENNA,ITA,Male,Lead,1,3,3
163,Lukasz SWIRK,POL,Male,Speed,1,3,1
164,Jean-baptiste TRIBOUT,FRA,Male,Lead,1,2,5
165,Alexandre CHAOULSKY,RUS,Male,Speed,1,2,4
166,Cuilian HE,CHN,Female,Speed,1,2,4
167,Luisa IOVANE,ITA,Female,Lead,1,2,3
168,François AUCLAIR,FRA,Male,Lead,1,2,2
169,Tsukuru HORI,JPN,Male,Boulder,1,2,2
170,Serik KAZBEKOV,UKR,Male,Boulder,1,2,2
171,Alexei GADEEV,RUS,Male,Speed,1,2,1
172,Klaudia BUCZEK,POL,Female,Speed,1,2,1
173,Katrin SEDLMAYER,GER,Female,Lead,1,2,1
174,Katharina SAURWEIN,AUT,Female,Boulder,1,2,1
175,Daniel WOODS,USA,Male,Boulder,1,2,1
176,Jinbao LONG,CHN,Male,Speed,1,2,1
177,Xinshang WANG,CHN,Male,Speed,1,2,1
178,Luka POTOCAR,SLO,Male,Lead,1,2,0
179,Olena OSTAPENKO,UKR,Female,Speed,1,2,0
180,Keiichiro KORENAGA,JPN,Male,Lead,1,2,0
181,Brooke RABOUTOU,USA,Female,Boulder,1,1,6
182,Hélène JANICOT,FRA,Female,Lead,1,1,4
183,Jain KIM,KOR,Female,Boulder,1,1,4
184,Hyunbin MIN,KOR,Male,Lead,1,1,3
185,Yaroslav GONTARYK,UKR,Male,Speed,1,1,3
186,Chloé MINORET,FRA,Female,Lead,1,1,2
187,Xiaojie CHEN,CHN,Male,Speed,1,1,2
188,Alexandra EYER,SUI,Female,Lead,1,1,2
189,Chunhua LI,CHN,Female,Speed,1,1,1
190,Naïlé MEIGNAN,FRA,Female,Boulder,1,1,1
191,Satone YOSHIDA,JPN,Male,Lead,1,1,1
192,Masahiro HIGUCHI,JPN,Male,Lead,1,1,1
193,Nataliya PERLOVA,UKR,Female,Boulder,1,1,1
194,Mauro CALIBANI,ITA,Male,Boulder,1,1,1
195,Evgueni MINATCHEV,RUS,Male,Speed,1,1,1
196,Andreas BINDHAMMER,GER,Male,Lead,1,1,1
197,Mayya PIRATINSKAYA,RUS,Female,Speed,1,1,1
198,Evi NELIWATI,INA,Female,Speed,1,1,1
199,Emilie POUGET,FRA,Female,Lead,1,1,1
200,Arsenii SHEVCHENKO,RUS,Male,Speed,1,1,0
201,Timo PREUSSLER,GER,Male,Lead,1,1,0
202,Yevgen KRYVOSHEYTSEV,UKR,Male,Speed,1,1,0
203,Lisa RANDS,USA,Female,Boulder,1,1,0
204,Hiroto SHIMIZU,JPN,Male,Lead,1,1,0
205,Yafei ZHOU,CHN,Female,Speed,1,1,0
206,Rajiah SALLSABILLAH,INA,Female,Speed,1,1,0
207,Ao YURIKUSA,JPN,Male,Lead,1,1,0
208,Eliska ADAMOVSKA,CZE,Female,Lead,1,1,0
