,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
131,Svetlana SUTKINA (RUS),0,1,0,0,1,1,0,2,1,3,17,0,17
132,Jimin JEONG (KOR),0,1,0,0,0,0,0,2,2,4,16,0,25
133,Bettina SCHÖPF (AUT),0,1,0,0,0,0,0,2,1,3,53,0,5
134,Corinne LABRUNE (FRA),0,1,0,0,0,0,0,2,0,2,16,0,12
135,Olga EVSTIGNEEVA (RUS),0,1,0,0,0,0,0,2,0,2,15,0,13
136,Irati ANDA VILLANUEVA (ESP),0,1,0,0,0,0,0,2,0,2,23,0,8
137,Katharina POSCH (AUT),0,1,0,0,0,0,0,1,2,3,79,0,3
138,Elizaveta IVANOVA (RUS),0,1,0,0,0,0,0,1,2,3,15,0,20
139,Gaelle GOURIOU (FRA),0,1,0,0,0,0,0,1,1,2,8,0,25
140,Alla MARENYCH (UKR),0,1,0,0,0,0,0,1,1,2,35,0,5
141,Lauren LEE (USA),0,1,0,0,0,0,0,1,0,1,2,0,50
142,Francis RODRIGUEZ (VEN),0,1,0,0,0,0,0,1,0,1,22,0,4
143,Monika RETSCHY (GER),0,1,0,0,0,0,0,1,0,1,45,0,2
144,Iwona GRONKIEWICZ-MARCISZ (POL),0,1,0,0,0,0,0,0,2,2,43,0,4
145,Yuyun YUNIAR (INA),0,1,0,0,0,0,0,0,2,2,6,0,33
146,Patrycja CHUDZIAK (POL),0,1,0,0,0,0,0,0,2,2,53,0,3
147,Barbara BACHER (AUT),0,1,0,0,0,0,0,0,1,1,161,0,0
148,Silvie RAJFOVA (CZE),0,1,0,0,0,0,0,0,1,1,37,0,2
149,Dinara FAKHRITDINOVA (RUS),0,1,0,0,0,0,0,0,1,1,64,0,1
150,Xuhua PAN (CHN),0,1,0,0,0,0,0,0,1,1,34,0,2
151,Julia CHANOURDIE (FRA),0,1,0,0,0,0,0,0,1,1,69,0,1
152,Manon HILY (FRA),0,1,0,0,0,0,0,0,1,1,47,0,2
153,Oceania MACKENZIE (AUS),0,1,0,0,0,0,0,0,1,1,43,0,2
154,Shengyan WANG (CHN),0,1,0,0,0,0,0,0,1,1,13,0,7
155,Robyn ERBESFIELDS (USA),0,1,0,0,0,0,0,0,0,0,0,0,0
156,Mélanie SON (FRA),0,1,0,0,0,0,0,0,0,0,0,0,0
157,Katja KADIC (SLO),0,1,0,0,0,0,0,0,0,0,0,0,0
158,Mao NAKAMURA (JPN),0,1,0,0,0,0,0,0,0,0,0,0,0
159,Ayala KEREM (ISR),0,1,0,0,0,0,0,0,0,0,0,0,0
160,Mia KRAMPL (SLO),0,0,0,2,0,2,0,0,2,2,63,0,3
161,Camilla MORONI (ITA),0,0,0,1,0,1,0,1,1,2,29,0,6
162,Agnès BRARD (FRA),0,0,0,1,0,1,0,0,1,1,10,0,10
163,Emily HARRINGTON (USA),0,0,0,1,0,1,0,0,1,1,11,0,9
164,Sol SA (KOR),0,0,0,1,0,1,0,0,0,0,0,0,0
165,Sasha DIGIULIAN (USA),0,0,0,1,0,1,0,0,0,0,0,0,0
166,Claire BUHRFEIND (USA),0,0,0,1,0,1,0,0,0,0,0,0,0
167,Giulia GIAMMARCO (ITA),0,0,0,0,0,0,0,2,0,2,17,0,11
168,Victoire ANDRIER (FRA),0,0,0,0,0,0,0,2,0,2,37,0,5
169,Katja VIDMAR (SLO),0,0,0,0,0,0,0,2,0,2,44,0,4
170,Sara MORANDI (ITA),0,0,0,0,0,0,0,2,0,2,14,0,14
171,Yuka KOBAYASHI (JPN),0,0,0,0,0,0,0,1,3,4,89,0,4
172,Zhilu LUO (CHN),0,0,0,0,0,0,0,1,2,3,25,0,12
173,Olga OCHTCHEPKOVA (RUS),0,0,0,0,0,0,0,1,2,3,8,0,37
174,Yana MALKOVA (RUS),0,0,0,0,0,0,0,1,1,2,3,0,66
175,Elena TIMOFEEVA (RUS),0,0,0,0,0,0,0,1,1,2,26,0,7
176,Yuetong ZHANG (CHN),0,0,0,0,0,0,0,1,0,1,43,0,2
177,Zélia AVEZOU (FRA),0,0,0,0,0,0,0,1,0,1,18,0,5
178,Jennifer Eucharia BUCKLEY (SLO),0,0,0,0,0,0,0,1,0,1,7,0,14
179,Nonoha KUME (JPN),0,0,0,0,0,0,0,1,0,1,5,0,20
180,Anne-sophie KOLLER (SUI),0,0,0,0,0,0,0,1,0,1,54,0,1
181,Ashima SHIRAISHI (USA),0,0,0,0,0,0,0,1,0,1,27,0,3
182,Mathilde BRUMAGNE (BEL),0,0,0,0,0,0,0,1,0,1,29,0,3
183,Sari AGUSTINA (INA),0,0,0,0,0,0,0,1,0,1,6,0,16
