,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
122,Sohta AMAGASA (JPN),0,1,0,0,0,0,1,0,1,2,14,7,14
123,Zento MURASHITA (JPN),0,1,0,0,0,0,1,0,0,1,8,12,12
124,Anatoly SKRIPOV (RUS),0,1,0,0,0,0,1,0,0,1,10,10,10
125,Marcello BOMBARDI (ITA),0,1,0,0,0,0,1,0,0,1,100,1,1
126,Manuel CORNU (FRA),0,0,0,1,2,3,1,1,0,2,54,1,3
127,Aspar JAELOLO (INA),0,0,0,0,0,0,1,4,1,6,28,3,21
128,Jerry MOFFATT (GBR),0,0,0,0,0,0,1,4,0,5,5,20,100
129,Daniel WOODS (USA),0,0,0,0,0,0,1,2,1,4,16,6,25
130,Xiaojie CHEN (CHN),0,0,0,0,0,0,1,1,2,4,9,11,44
131,Evgueni MINATCHEV (RUS),0,0,0,0,0,0,1,1,1,3,9,11,33
132,Hiroto SHIMIZU (JPN),0,0,0,0,0,0,1,1,0,2,12,8,16
133,Timo PREUSSLER (GER),0,0,0,0,0,0,1,1,0,2,23,4,8
134,Guido KÖSTERMEYER (GER),0,0,0,0,1,1,1,0,0,1,14,7,7
135,Sebastian HALENKE (GER),0,0,0,0,0,0,1,0,3,4,60,1,6
136,Leonardo GONTERO (ITA),0,0,0,0,0,0,1,0,2,3,50,2,6
137,Stéphan JULIEN (FRA),0,0,0,0,0,0,1,0,2,3,34,2,8
138,Eduard MARIN GARCIA (ESP),0,0,0,0,0,0,1,0,2,3,45,2,6
139,Raharjati NURSAMSA (INA),0,0,0,0,0,0,1,0,1,2,6,16,33
140,Carlos BRASCOE (ESP),0,0,0,0,0,0,1,0,1,2,6,16,33
141,Aspar ASPAR (INA),0,0,0,0,0,0,1,0,1,2,13,7,15
142,Andrew EARL (GBR),0,0,0,0,0,0,1,0,1,2,25,4,8
143,Mykhaylo SHALAGIN (UKR),0,0,0,0,0,0,1,0,1,2,51,1,3
144,Hidemasa NISHIDA (JPN),0,0,0,0,0,0,1,0,0,1,12,8,8
145,Leonel DE LAS SALAS (VEN),0,0,0,0,0,0,1,0,0,1,18,5,5
146,Mark CROXALL (GBR),0,0,0,0,0,0,1,0,0,1,29,3,3
147,Alex KHAZANOV (ISR),0,0,0,0,0,0,1,0,0,1,56,1,1
148,Erik NOYA CARDONA (ESP),0,2,0,1,0,1,0,2,2,4,20,0,20
149,Luca ZARDINI (ITA),0,2,0,0,0,0,0,2,3,5,90,0,5
150,Vladislav BARANOV (RUS),0,2,0,0,0,0,0,2,1,3,14,0,21
151,Shion OMATA (JPN),0,2,0,0,0,0,0,1,2,3,13,0,23
152,Frédéric TUSCAN (FRA),0,1,0,1,0,1,0,1,0,1,18,0,5
153,Meichi NARASAKI (JPN),0,1,0,0,0,0,0,4,1,5,43,0,11
154,Severino SCASSA (ITA),0,1,0,0,0,0,0,3,1,4,18,0,22
155,Manuel ROMAIN (FRA),0,1,0,0,0,0,0,2,3,5,54,0,9
156,Sam AVEZOU (FRA),0,1,0,0,0,0,0,2,2,4,37,0,10
157,Ben MOON (GBR),0,1,0,0,0,0,0,2,1,3,11,0,27
158,Jim KARN (USA),0,1,0,0,0,0,0,2,0,2,11,0,18
159,Nathaniel COLEMAN (USA),0,1,0,0,0,0,0,2,0,2,38,0,5
160,Aleksandr SHILOV (RUS),0,1,0,0,0,0,0,2,0,2,31,0,6
161,Maksym PETRENKO (UKR),0,1,0,0,1,1,0,1,3,4,41,0,9
162,Alexander KOSTERIN (RUS),0,1,0,0,0,0,0,1,4,5,21,0,23
163,Akito MATSUSHIMA (JPN),0,1,0,0,0,0,0,1,2,3,45,0,6
164,Alberto GINÉS LÓPEZ (ESP),0,1,0,0,0,0,0,1,2,3,36,0,8
165,Fabien MAZUER (FRA),0,1,0,0,0,0,0,1,1,2,15,0,13
166,Loïc GAIDIOZ (FRA),0,1,0,0,0,0,0,1,1,2,55,0,3
167,Christian SCHLESENER (GER),0,1,0,0,0,0,0,1,0,1,5,0,20
168,Remi SAMYN (FRA),0,1,0,0,0,0,0,1,0,1,16,0,6
169,David CAUDE (FRA),0,1,0,0,1,1,0,0,3,3,58,0,5
170,Kairat RAKHMETOV (KAZ),0,1,0,0,1,1,0,0,0,0,0,0,0
171,Paul DEWILDE (FRA),0,1,0,0,0,0,0,0,1,1,27,0,3
172,Simon WANDELER (SUI),0,1,0,0,0,0,0,0,1,1,32,0,3
173,Alexei KOZLOV (RUS),0,1,0,0,0,0,0,0,1,1,5,0,20
174,Didier RABATOU (FRA),0,1,0,0,0,0,0,0,0,0,0,0,0
175,Jerry MOFFAT (GBR),0,1,0,0,0,0,0,0,0,0,0,0,0
176,Carlos BRASCO (ESP),0,1,0,0,0,0,0,0,0,0,0,0,0
177,John BROSLER (USA),0,1,0,0,0,0,0,0,0,0,0,0,0
178,Martin STRANIK (CZE),0,0,0,1,0,1,0,2,2,4,78,0,5
179,Thomas TAUPORN (GER),0,0,0,1,0,1,0,1,2,3,50,0,6
180,Stefan GLOWACZ (GER),0,0,0,1,0,1,0,1,0,1,12,0,8
181,Jan KRIZ (CZE),0,0,0,1,0,1,0,0,1,1,39,0,2
182,Philipp MARTIN (GER),0,0,0,1,0,1,0,0,0,0,0,0,0
183,Milan BENIAN (CZE),0,0,0,1,0,1,0,0,0,0,0,0,0
184,Csaba KOMONDI (HUN),0,0,0,0,0,0,0,3,1,4,46,0,8
185,Christian BINDHAMMER (GER),0,0,0,0,0,0,0,3,0,3,70,0,4
186,Noah BRATSCHI (USA),0,0,0,0,1,1,0,2,0,2,23,0,8
187,Dmitrii FAKIRIANOV (RUS),0,0,0,0,0,0,0,2,2,4,17,0,23
188,Erianto ROZAK (INA),0,0,0,0,0,0,0,2,0,2,2,0,100
189,Maximillian MILNE (GBR),0,0,0,0,0,0,0,2,0,2,26,0,7
190,Matthias MÜLLER (SUI),0,0,0,0,0,0,0,2,0,2,49,0,4
191,Michaël FUSELIER (FRA),0,0,0,0,0,0,0,2,0,2,49,0,4
192,Rishat KHAIBULLIN (KAZ),0,0,0,0,1,1,0,1,0,1,30,0,3
193,Ning ZHANG (CHN),0,0,0,0,1,1,0,1,0,1,14,0,7
194,Sylvain MILLET (FRA),0,0,0,0,0,0,0,1,3,4,70,0,5
195,Maksym OSIPOV (UKR),0,0,0,0,0,0,0,1,2,3,20,0,15
196,Pandu asmoro GALAR (INA),0,0,0,0,0,0,0,1,1,2,4,0,50
197,Jindrich HUDECEK (CZE),0,0,0,0,0,0,0,1,1,2,7,0,28
198,Satone YOSHIDA (JPN),0,0,0,0,0,0,0,1,1,2,35,0,5
199,Anze PEHARC (SLO),0,0,0,0,0,0,0,1,1,2,56,0,3
200,Hannes VAN DUYSEN (BEL),0,0,0,0,0,0,0,1,1,2,20,0,10
201,Yufei PAN (CHN),0,0,0,0,0,0,0,1,1,2,58,0,3
